customer_geolocation_lat,customer_geolocation_lng,customer_geolocation_city,customer_geolocation_state
-23.54562128,-46.63929205,sao paulo,SP
-23.547762300000002,-46.63536054,são paulo,SP
-23.5568116,-46.65713483,sao bernardo do campo,SP
-23.51597815,-46.58216997,são paulo,RN
-23.21664833,-46.86137072,jundiaí,SP
-23.57479781,-46.65010622,taboão da serra,SP
-23.57870737,-46.64577862,sao paulo,AC
-23.62272068,-46.62035998,sãopaulo,SP
-23.64036523,-46.65212213,sp,SP
-23.63987244,-46.7135709,sa£o paulo,SP
-23.188135199999998,-45.88770488,sao jose dos campos,SP
-23.55950814,-46.77587276,osasco,SP
-23.54811119,-46.84116676,carapicuíba,SP
-23.58361359,-46.82348459,carapicuiba,SP
-23.50247658,-46.85563438,barueri,SP
-23.43923477,-46.89947342,santana de parnaiba,SP
-23.41478421,-46.97444895,pirapora do bom jesus,SP
-23.463713100000003,-46.87010196,santana de parnaíba,SP
-23.5457302,-46.91596156,jandira,SP
-23.55266738,-46.9176766,itapevi,SP
-23.60522962,-46.9076179,cotia,SP
-23.60638684,-46.76874081,taboao da serra,SP
-23.6592332,-46.99692811,vargem grande paulista,SP
-23.65727661,-46.80590562,embu das artes,SP
-23.74304514,-46.79107615,itapecerica da serra,SP
-23.65883153,-46.86126212,embu,SP
-23.85436536,-46.95453617,são lourenço da serra,SP
-23.893845300000002,-46.98472674,sao lourenco da serra,SP
-23.82852168,-46.81479598,embu-guacu,SP
-23.82791925,-46.81405456,embu-guaçu,SP
-23.83959703,-46.8192912,embu guaçu,SP
-23.93140655,-47.07199584,juquitiba,SP
-23.84805389,-46.81525457,embu guacu,SP
-23.81483045,-46.78592156,embuguacu,SP
-23.48392864,-46.54665783,guarulhos,SP
-23.44434644,-46.53902959,adamantina,SP
-23.42399205,-46.42346356,guarulhos-sp,SP
-23.39888375,-46.32526701,aruja,SP
-23.39440141,-46.32843946,arujá,SP
-23.31336727,-46.23184349,santa isabel,SP
-23.32358162,-46.57151643,mairipora,SP
-23.32186293,-46.58817475,mairiporã,SP
-23.34348781,-46.84017586,cajamar,SP
-23.37746207,-46.75345652,caieiras,SP
-23.336505,-46.840396500000004,jordanesia,SP
-23.41064346,-46.86452427,polvilho,SP
-23.65961406,-46.4757847,mauá,SP
-23.33753793,-46.82938812,jordanésia,SP
-23.31732114,-46.732090899999996,franco da rocha,SP
-23.29117487,-46.74822913,francisco morato,SP
-23.50802608,-46.33563055,poa,SP
-23.48262344,-46.37448953,itaquaquecetuba,SP
-23.535777,-46.3728275,ferraz de vasconcelos,SP
-23.52001641,-46.34393029,poá,SP
-23.56920179,-46.33696494,suzano,SP
-23.53532417,-46.190667,mogi das cruzes,SP
-23.52972367,-46.20450115,mogidascruzes,SP
-23.53017186,-45.85395966,salesopolis,SP
-23.57008193,-46.04332096,biritiba-mirim,SP
-23.41300937,-46.02387529,guararema,SP
-23.53568494,-45.85171271,salesópolis,SP
-23.57366095,-46.03797844,biritiba mirim,SP
-23.65321157,-46.55446338,santo andre,SP
-23.6516785,-46.55365614,santo andré,SP
-23.68011443,-46.45245374,maua,SP
-23.71294769,-46.40855396,ribeirão pires,SP
-23.65505508,-46.36192942,ribeirao pires,SP
-23.73761013,-46.3937076,rio grande da serra,SP
-23.63659649,-46.577337899999996,sao caetano do sul,SP
-23.62995075,-46.55251995,são caetano do sul,SP
-23.67170527,-46.58997464,são bernardo do campo,SP
-23.72028846,-46.53603416,sbcampo,SP
-23.68008453,-46.62410537,diadema,SP
-23.93360892,-46.34716272,santos,SP
-23.828340100000002,-46.14301738,bertioga,SP
-8.275688987,-35.96561522,caruara,SP
-23.94088407,-46.395355,sao vicente,SP
-23.962905600000003,-46.39461144,são vicente,SP
-23.98788983,-46.24777699,guarujá,SP
-23.96227509,-46.25047777,guaruja,SP
-23.92598892,-46.40841449,cubatao,SP
-23.89641672,-46.42138063,cubatão,SP
-23.826105,-45.43580296,sao sebastiao,SP
-23.43162669,-45.0772287,ubatuba,SP
-23.83182305,-45.37368542,ilhabela,SP
-23.62215256,-45.414717700000004,caraguatatuba,SP
-23.78191109,-45.62542446,são sebastião,SP
-23.75416274,-45.81876231,maresias,SP
-23.75745689,-45.4156724,sao francisco da praia,SP
-23.819651999999998,-45.43736296,são francisco da praia,SP
-24.11716946,-46.70107542,mongagua,SP
-24.01628356,-46.3984357,praia grande,SP
-24.13646277,-46.71827434,mongaguá,SP
-24.14965101,-46.7480979,itanhaem,SP
-24.30942886,-46.99109132,peruibe,SP
-24.28999207,-47.17553710000001,itariri,SP
-24.27625803,-47.23901173,pedro de toledo,SP
-24.14992366,-46.73681046,itanhaém,SP
-24.31835332,-47.0025489,peruíbe,SP
-24.30371104,-47.06606866,ana dias,SP
-24.28128437,-47.44564358,miracatu,SP
-24.31600719,-47.63102741,juquia,SP
-24.32086502,-47.63573146,juquiá,SP
-24.72923632,-47.87514487,pariquera-acu,SP
-24.72549861,-48.11036827,cajati,SP
-24.49203033,-47.83413138,registro,SP
-24.71579947,-48.00772649,jacupiranga,SP
-24.73951533,-47.53906858,ilha comprida,SP
-24.75567197,-48.50634725,barra do turvo,SP
-24.522633,-48.10619025,eldorado,SP
-24.70529206,-47.55221573,iguape,SP
-25.01181232,-47.930451,cananéia,SP
-25.0016535,-47.93411025,cananeia,SP
-24.38123467,-47.92755772,sete barras,SP
-24.71134961,-47.8821373,pariquera-açu,SP
-23.0285801,-45.55788415,taubate,SP
-23.04708336,-45.51638236,taubaté,SP
-23.37997662,-45.44779215,natividade da serra,SP
-22.960426000000002,-45.55027479,tremembe,SP
-23.08822306,-45.19152035,lagoinha,SP
-22.99328993,-45.55653892,tremembé,SP
-23.27933985,-45.53463047,redencao da serra,SP
-23.2463401,-45.20372635,catucaba,SP
-23.22639279,-45.31731269,sao luiz do paraitinga,SP
-23.22120005,-45.30694446,sao luis do paraitinga,SP
-23.23207599,-45.30881992,são luiz do paraitinga,SP
-23.24656096,-45.89750073,são josé dos campos,SP
-23.11125491,-45.70176767,cacapava,SP
-23.34992418,-45.70879041,paraibuna,SP
-23.10366595,-45.71009963,caçapava,SP
-23.25658323,-45.69174321,jambeiro,SP
-22.95700679,-45.83889267,monteiro lobato,SP
-22.91168769,-45.95858912,sao francisco xavier,SP
-22.91370339,-45.95971337,são francisco xavier,SP
-23.26597988,-46.06705735,jacarei,SP
-23.28086565,-45.94870651,jacareí,SP
-23.39873866,-45.87914133,santa branca,SP
-23.21412295,-46.15782773,igarata,SP
-23.20548748,-46.15512981,igaratá,SP
-22.95773147,-45.45515669,pindamonhangaba,SP
-22.69067,-45.7355,são bento do sapucaí,SP
-22.73232304,-45.56427039,campos do jordao,SP
-22.69050277,-45.73678301,sao bento do sapucai,SP
-22.82300637,-45.66732292,santo antonio do pinhal,SP
-22.74592931,-45.58224389,campos do jordão,SP
-22.825665,-45.66082275,santo antônio do pinhal,SP
-22.81207939,-45.18265772,guaratingueta,SP
-22.84195929,-45.2556749,potim,SP
-22.79329484,-45.19745882,guaratinguetá,SP
-22.85192958,-45.23031075,aparecida,SP
-23.07558797,-44.95788421,cunha,SP
-22.890828600000003,-45.30332001,roseira,SP
-22.92337687,-44.82234087,campos de cunha,SP
-22.742371399999996,-45.114792200000004,lorena,SP
-22.6640217,-45.00665756,cachoeira paulista,SP
-22.59969902,-45.1946791,piquete,SP
-22.66311359,-44.85249666,silveiras,SP
-22.70347355,-45.05105261,canas,SP
-22.58485192,-44.96871571,cruzeiro,SP
-22.56492858,-44.9292778,lavrinhas,SP
-22.67526017,-44.44458622,arapeí,SP
-22.531698000000002,-44.754012,queluz,SP
-22.67198427,-44.44834126,arapei,SP
-22.68182213,-44.31777546,bananal,SP
-22.64550897,-44.58348151,sao jose do barreiro,SP
-22.64563883,-44.57662401,são josé do barreiro,SP
